player_name,fantasy_score,venue,opposition_team,player_team_first_role
BCJ Cutting,59,"Rajiv Gandhi International Stadium, Uppal",Royal Challengers Bangalore,batting
DJ Hooda,43,"Rajiv Gandhi International Stadium, Uppal",Royal Challengers Bangalore,batting
A Choudhary,33,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,bowling
CH Gayle,36,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,bowling
TM Head,33,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,bowling
KM Jadhav,33,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,bowling
SR Watson,25,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,bowling
MC Henriques,100,"Rajiv Gandhi International Stadium, Uppal",Royal Challengers Bangalore,batting
DA Warner,30,"Rajiv Gandhi International Stadium, Uppal",Royal Challengers Bangalore,batting
Sachin Baby,17,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,bowling
Mandeep Singh,37,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,bowling
Bipul Sharma,25,"Rajiv Gandhi International Stadium, Uppal",Royal Challengers Bangalore,batting
Yuvraj Singh,85,"Rajiv Gandhi International Stadium, Uppal",Royal Challengers Bangalore,batting
Rashid Khan,58,"Rajiv Gandhi International Stadium, Uppal",Royal Challengers Bangalore,batting
YS Chahal,28,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,bowling
S Aravind,0,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,bowling
S Dhawan,43,"Rajiv Gandhi International Stadium, Uppal",Royal Challengers Bangalore,batting
TS Mills,39,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,bowling
B Kumar,50,"Rajiv Gandhi International Stadium, Uppal",Royal Challengers Bangalore,batting
STR Binny,38,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,bowling
A Nehra,58,"Rajiv Gandhi International Stadium, Uppal",Royal Challengers Bangalore,batting
MS Dhoni,21,Maharashtra Cricket Association Stadium,Mumbai Indians,bowling
HH Pandya,63,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,batting
TG Southee,42,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,batting
AM Rahane,72,Maharashtra Cricket Association Stadium,Mumbai Indians,bowling
MA Agarwal,11,Maharashtra Cricket Association Stadium,Mumbai Indians,bowling
BA Stokes,47,Maharashtra Cricket Association Stadium,Mumbai Indians,bowling
PA Patel,21,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,batting
R Bhatia,58,Maharashtra Cricket Association Stadium,Mumbai Indians,bowling
KH Pandya,1,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,batting
JC Buttler,47,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,batting
SPD Smith,95,Maharashtra Cricket Association Stadium,Mumbai Indians,bowling
A Zampa,25,Maharashtra Cricket Association Stadium,Mumbai Indians,bowling
DL Chahar,0,Maharashtra Cricket Association Stadium,Mumbai Indians,bowling
JJ Bumrah,0,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,batting
RG Sharma,11,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,batting
Imran Tahir,99,Maharashtra Cricket Association Stadium,Mumbai Indians,bowling
AT Rayudu,8,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,batting
AB Dinda,25,Maharashtra Cricket Association Stadium,Mumbai Indians,bowling
N Rana,45,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,batting
MJ McClenaghan,25,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,batting
KA Pollard,32,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,batting
MS Gony,0,Saurashtra Cricket Association Stadium,Kolkata Knight Riders,batting
JJ Roy,15,Saurashtra Cricket Association Stadium,Kolkata Knight Riders,batting
SP Narine,0,Saurashtra Cricket Association Stadium,Gujarat Lions,bowling
Kuldeep Yadav,58,Saurashtra Cricket Association Stadium,Gujarat Lions,bowling
SB Jakati,0,Saurashtra Cricket Association Stadium,Kolkata Knight Riders,batting
YK Pathan,8,Saurashtra Cricket Association Stadium,Gujarat Lions,bowling
KD Karthik,55,Saurashtra Cricket Association Stadium,Kolkata Knight Riders,batting
SK Raina,73,Saurashtra Cricket Association Stadium,Kolkata Knight Riders,batting
S Kaushik,0,Saurashtra Cricket Association Stadium,Kolkata Knight Riders,batting
TA Boult,25,Saurashtra Cricket Association Stadium,Gujarat Lions,bowling
AJ Finch,19,Saurashtra Cricket Association Stadium,Kolkata Knight Riders,batting
CA Lynn,105,Saurashtra Cricket Association Stadium,Gujarat Lions,bowling
BB McCullum,41,Saurashtra Cricket Association Stadium,Kolkata Knight Riders,batting
DS Kulkarni,0,Saurashtra Cricket Association Stadium,Kolkata Knight Riders,batting
G Gambhir,82,Saurashtra Cricket Association Stadium,Gujarat Lions,bowling
P Kumar,0,Saurashtra Cricket Association Stadium,Kolkata Knight Riders,batting
DR Smith,0,Saurashtra Cricket Association Stadium,Kolkata Knight Riders,batting
CR Woakes,0,Saurashtra Cricket Association Stadium,Gujarat Lions,bowling
SA Yadav,16,Saurashtra Cricket Association Stadium,Gujarat Lions,bowling
PP Chawla,25,Saurashtra Cricket Association Stadium,Gujarat Lions,bowling
MS Dhoni,1,Holkar Cricket Stadium,Kings XI Punjab,batting
AM Rahane,22,Holkar Cricket Stadium,Kings XI Punjab,batting
T Natarajan,25,Holkar Cricket Stadium,Rising Pune Supergiant,bowling
MM Sharma,0,Holkar Cricket Stadium,Rising Pune Supergiant,bowling
